,salario en miles,Probabilidad,valores reales,valores aproximados,error absoluto
0,6,0.04,6 + log(1 + exp(15)),6 + (-3195*exp(-15)/2 + 3465*exp(-30)/2 + 45)/(3*exp(-45) + 9*exp(-30) + 9*exp(-15) + 3),-(-3195*exp(-15)/2 + 3465*exp(-30)/2 + 45)/(3*exp(-45) + 9*exp(-30) + 9*exp(-15) + 3) + log(1 + exp(15))
1,7,0.0,7 + log(1 + exp(14)),7 + (-1288*exp(-14) + 1414*exp(-28) + 42)/(3*exp(-42) + 9*exp(-28) + 9*exp(-14) + 3),-(-1288*exp(-14) + 1414*exp(-28) + 42)/(3*exp(-42) + 9*exp(-28) + 9*exp(-14) + 3) + log(1 + exp(14))
2,8,0.0,8 + log(1 + exp(13)),8 + (-2041*exp(-13)/2 + 2275*exp(-26)/2 + 39)/(3*exp(-39) + 9*exp(-26) + 9*exp(-13) + 3),-(-2041*exp(-13)/2 + 2275*exp(-26)/2 + 39)/(3*exp(-39) + 9*exp(-26) + 9*exp(-13) + 3) + log(1 + exp(13))
3,9,0.0,9 + log(1 + exp(12)),9 + (-792*exp(-12) + 900*exp(-24) + 36)/(3*exp(-36) + 9*exp(-24) + 9*exp(-12) + 3),-(-792*exp(-12) + 900*exp(-24) + 36)/(3*exp(-36) + 9*exp(-24) + 9*exp(-12) + 3) + log(1 + exp(12))
4,10,0.06,10 + log(1 + exp(11)),10 + (-1199*exp(-11)/2 + 1397*exp(-22)/2 + 33)/(3*exp(-33) + 9*exp(-22) + 9*exp(-11) + 3),-(-1199*exp(-11)/2 + 1397*exp(-22)/2 + 33)/(3*exp(-33) + 9*exp(-22) + 9*exp(-11) + 3) + log(1 + exp(11))
5,11,0.02,log(1 + exp(10)) + 11,(-440*exp(-10) + 530*exp(-20) + 30)/(3*exp(-30) + 9*exp(-20) + 9*exp(-10) + 3) + 11,-(-440*exp(-10) + 530*exp(-20) + 30)/(3*exp(-30) + 9*exp(-20) + 9*exp(-10) + 3) + log(1 + exp(10))
6,12,0.0399,log(1 + exp(9)) + 12,(-621*exp(-9)/2 + 783*exp(-18)/2 + 27)/(3*exp(-27) + 9*exp(-18) + 9*exp(-9) + 3) + 12,-(-621*exp(-9)/2 + 783*exp(-18)/2 + 27)/(3*exp(-27) + 9*exp(-18) + 9*exp(-9) + 3) + log(1 + exp(9))
7,13,0.0597,log(1 + exp(8)) + 13,(-208*exp(-8) + 280*exp(-16) + 24)/(3*exp(-24) + 9*exp(-16) + 9*exp(-8) + 3) + 13,-(-208*exp(-8) + 280*exp(-16) + 24)/(3*exp(-24) + 9*exp(-16) + 9*exp(-8) + 3) + log(1 + exp(8))
8,14,0.0191,log(1 + exp(7)) + 14,(-259*exp(-7)/2 + 385*exp(-14)/2 + 21)/(3*exp(-21) + 9*exp(-14) + 9*exp(-7) + 3) + 14,-(-259*exp(-7)/2 + 385*exp(-14)/2 + 21)/(3*exp(-21) + 9*exp(-14) + 9*exp(-7) + 3) + log(1 + exp(7))
9,15,0.0025,log(1 + exp(6)) + 15,(-72*exp(-6) + 126*exp(-12) + 18)/(3*exp(-18) + 9*exp(-12) + 9*exp(-6) + 3) + 15,-(-72*exp(-6) + 126*exp(-12) + 18)/(3*exp(-18) + 9*exp(-12) + 9*exp(-6) + 3) + log(1 + exp(6))
10,16,0.0133,log(1 + exp(5)) + 16,(-65*exp(-5)/2 + 155*exp(-10)/2 + 15)/(3*exp(-15) + 9*exp(-10) + 9*exp(-5) + 3) + 16,-(-65*exp(-5)/2 + 155*exp(-10)/2 + 15)/(3*exp(-15) + 9*exp(-10) + 9*exp(-5) + 3) + log(1 + exp(5))
11,17,0.042,log(1 + exp(4)) + 17,(-8*exp(-4) + 44*exp(-8) + 12)/(3*exp(-12) + 9*exp(-8) + 9*exp(-4) + 3) + 17,-(-8*exp(-4) + 44*exp(-8) + 12)/(3*exp(-12) + 9*exp(-8) + 9*exp(-4) + 3) + log(1 + exp(4))
12,18,0.0274,log(1 + exp(3)) + 18,(45*exp(-6)/2 + 9*exp(-3)/2 + 9)/(3*exp(-9) + 9*exp(-6) + 9*exp(-3) + 3) + 18,-(45*exp(-6)/2 + 9*exp(-3)/2 + 9)/(3*exp(-9) + 9*exp(-6) + 9*exp(-3) + 3) + log(1 + exp(3))
13,19,0.0792,log(1 + exp(2)) + 19,(10*exp(-4) + 8*exp(-2) + 6)/(3*exp(-6) + 9*exp(-4) + 9*exp(-2) + 3) + 19,-(10*exp(-4) + 8*exp(-2) + 6)/(3*exp(-6) + 9*exp(-4) + 9*exp(-2) + 3) + log(1 + exp(2))
14,20,0.2689,log(1 + E) + 20,(7*exp(-2)/2 + 11*exp(-1)/2 + 3)/(3*exp(-3) + 9*exp(-2) + 3 + 9*exp(-1)) + 20,-(7*exp(-2)/2 + 11*exp(-1)/2 + 3)/(3*exp(-3) + 9*exp(-2) + 3 + 9*exp(-1)) + log(1 + E)
15,21,0.5,log(2) + 21,21,log(2)
16,22,0.6911,log(exp(-1) + 1) + 22,(-7*exp(2)/2 - 11*E/2 - 3)/(3 + 9*E + 3*exp(3) + 9*exp(2)) + 22,(3 + 11*E/2 + 7*exp(2)/2)/(3 + 9*E + 3*exp(3) + 9*exp(2)) + log(exp(-1) + 1)
17,23,0.8208,log(exp(-2) + 1) + 23,(-10*exp(4) - 8*exp(2) - 6)/(3 + 9*exp(2) + 9*exp(4) + 3*exp(6)) + 23,log(exp(-2) + 1) + (6 + 8*exp(2) + 10*exp(4))/(3 + 9*exp(2) + 9*exp(4) + 3*exp(6))
18,24,0.9526,log(exp(-3) + 1) + 24,(-45*exp(6)/2 - 9*exp(3)/2 - 9)/(3 + 9*exp(3) + 9*exp(6) + 3*exp(9)) + 24,log(exp(-3) + 1) + (9 + 9*exp(3)/2 + 45*exp(6)/2)/(3 + 9*exp(3) + 9*exp(6) + 3*exp(9))
19,25,0.962,log(exp(-4) + 1) + 25,(-44*exp(8) - 12 + 8*exp(4))/(3 + 9*exp(4) + 9*exp(8) + 3*exp(12)) + 25,log(exp(-4) + 1) + (-8*exp(4) + 12 + 44*exp(8))/(3 + 9*exp(4) + 9*exp(8) + 3*exp(12))
20,26,0.9533,log(exp(-5) + 1) + 26,(-155*exp(10)/2 - 15 + 65*exp(5)/2)/(3 + 9*exp(5) + 9*exp(10) + 3*exp(15)) + 26,log(exp(-5) + 1) + (-65*exp(5)/2 + 15 + 155*exp(10)/2)/(3 + 9*exp(5) + 9*exp(10) + 3*exp(15))
21,27,0.9375,log(exp(-6) + 1) + 27,(-126*exp(12) - 18 + 72*exp(6))/(3 + 9*exp(6) + 9*exp(12) + 3*exp(18)) + 27,log(exp(-6) + 1) + (-72*exp(6) + 18 + 126*exp(12))/(3 + 9*exp(6) + 9*exp(12) + 3*exp(18))
22,28,0.9991,log(exp(-7) + 1) + 28,(-385*exp(14)/2 - 21 + 259*exp(7)/2)/(3 + 9*exp(7) + 9*exp(14) + 3*exp(21)) + 28,log(exp(-7) + 1) + (-259*exp(7)/2 + 21 + 385*exp(14)/2)/(3 + 9*exp(7) + 9*exp(14) + 3*exp(21))
23,29,0.9397,log(exp(-8) + 1) + 29,(-280*exp(16) - 24 + 208*exp(8))/(3 + 9*exp(8) + 9*exp(16) + 3*exp(24)) + 29,log(exp(-8) + 1) + (-208*exp(8) + 24 + 280*exp(16))/(3 + 9*exp(8) + 9*exp(16) + 3*exp(24))
24,30,0.9399,log(exp(-9) + 1) + 30,(-783*exp(18)/2 - 27 + 621*exp(9)/2)/(3 + 9*exp(9) + 9*exp(18) + 3*exp(27)) + 30,log(exp(-9) + 1) + (-621*exp(9)/2 + 27 + 783*exp(18)/2)/(3 + 9*exp(9) + 9*exp(18) + 3*exp(27))
